Gene symbol	Entrez ID	Aliases	Full name
DAXX	1616	BING2, DAP6, EAP1	death-domain associated protein
DBF4	10926	ASK, CHIF, DBF4A, ZDBF1	DBF4 homolog (S. cerevisiae)
DBH	1621	DBM	dopamine beta-hydroxylase (dopamine beta-monooxygenase)
DBI	1622	ACBD1, ACBP, CCK-RP, EP	diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)
DBP	1628	DABP	D site of albumin promoter (albumin D-box) binding protein
DCBLD2	131566	CLCP1, ESDN	discoidin, CUB and LCCL domain containing 2
DCC	1630	CRC18, CRCR1, IGDCC1	deleted in colorectal carcinoma
DCDC2	51473	DCDC2A, RU2, RU2S	doublecortin domain containing 2
DCN	1634	CSCD, DSPG2, PG40, PGII, PGS2, SLRR1B	decorin
DCT	1638	TRP-2, TYRP2	dopachrome tautomerase
DDB1	1642	DDBA, UV-DDB1, XAP1, XPCE, XPE, XPE-BF	damage-specific DNA binding protein 1, 127kDa
DDB2	1643	DDBB, UV-DDB2	damage-specific DNA binding protein 2, 48kDa
DDC	1644	AADC	dopa decarboxylase (aromatic L-amino acid decarboxylase)
DDIT3	1649	CEBPZ, CHOP, CHOP-10, CHOP10, GADD153	DNA-damage-inducible transcript 3
DDIT4	54541	Dig2, REDD-1, REDD1	DNA-damage-inducible transcript 4
DDR2	4921	MIG20a, NTRKR3, TKT, TYRO10	discoidin domain receptor tyrosine kinase 2
DDX18	8886	MrDb	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
DDX20	11218	DP103, GEMIN3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20
DDX21	9188	GUA, GURDB, RH-II/GU, RH-II/GuA	DEAD (Asp-Glu-Ala-Asp) box helicase 21
DDX5	1655	G17P1, HLR1, HUMP68, p68	DEAD (Asp-Glu-Ala-Asp) box helicase 5
DDX58	23586	RIG-I, RIGI, RLR-1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
DEAF1	10522	NUDR, SPN, ZMYND5	DEAF1 transcription factor
DEC1	50514	CTS9	deleted in esophageal cancer 1
DEDD	9191	CASP8IP1, DEDD1, DEFT, FLDED1	death effector domain containing
DEFA1	1667	DEF1, DEFA2, HNP-1, HP-1, HP1, MRS	defensin, alpha 1
DEFA3	1668	DEF3, HNP-3, HNP3, HP-3, HP3	defensin, alpha 3, neutrophil-specific
DEFA5	1670	DEF5, HD-5	defensin, alpha 5, Paneth cell-specific
DEFA6	1671	DEF6, HD-6	defensin, alpha 6, Paneth cell-specific
DEFB1	1672	BD1, DEFB-1, DEFB101, HBD1	defensin, beta 1
DEFB103A	414325	BD-3, DEFB-3, DEFB103, DEFB3, HBD3, HBP-3, HBP3, hBD-3	defensin, beta 103A
DEFB4A	1673	BD-2, DEFB-2, DEFB102, DEFB2, DEFB4, HBD-2, SAP1	defensin, beta 4A
DEK	7913	D6S231E	DEK oncogene
DENND4A	10260	IRLB, MYCPBP	DENN/MADD domain containing 4A
DES	1674	CSM1, CSM2	desmin
DGCR8	54487	C22orf12, DGCRK6, Gy1, pasha	DiGeorge syndrome critical region gene 8
DGKG	1608	DAGK3, DGK-GAMMA	diacylglycerol kinase, gamma 90kDa
DHCR24	1718	DCE, Nbla03646, SELADIN1, seladin-1	24-dehydrocholesterol reductase
DHFR	1719	DHFRP1, DYR	dihydrofolate reductase
DHRS2	10202	HEP27, SDR25C1	dehydrogenase/reductase (SDR family) member 2
DHX9	1660	DDX9, LKP, NDH2, NDHII, RHA	DEAH (Asp-Glu-Ala-His) box polypeptide 9
DICER1	23405	DCR1, Dicer, HERNA, MNG1	dicer 1, ribonuclease type III
DIRAS3	9077	ARHI, NOEY2	DIRAS family, GTP-binding RAS-like 3
DISC1	27185	C1orf136, SCZD9	disrupted in schizophrenia 1
DKK1	22943	DKK-1, SK	dickkopf 1 homolog (Xenopus laevis)
DKK3	27122	REIC, RIG	dickkopf 3 homolog (Xenopus laevis)
DKK4	27121	DKK-4	dickkopf homolog 4 (Xenopus laevis)
DLC1	10395	ARHGAP7, HP, STARD12, p122-RhoGAP	deleted in liver cancer 1
DLG1	1739	DLGH1, SAP-97, SAP97, dJ1061C18.1.1, hdlg	discs, large homolog 1 (Drosophila)
DLG4	1742	PSD95, SAP-90, SAP90	discs, large homolog 4 (Drosophila)
DLK1	8788	DLK, DLK-1, Delta1, FA1, PREF1, Pref-1, ZOG, pG2	delta-like 1 homolog (Drosophila)
DLL1	28514	DELTA1, DL1, Delta	delta-like 1 (Drosophila)
DLL4	54567	hdelta2	delta-like 4 (Drosophila)
DLX3	1747	AI4, TDO	distal-less homeobox 3
DLX4	1748	BP1, DLX7, DLX8, DLX9	distal-less homeobox 4
DLX5	1749	SHFM1D	distal-less homeobox 5
DMAP1	55929	DNMAP1, DNMTAP1, EAF2, MEAF2, SWC4	DNA methyltransferase 1 associated protein 1
DMC1	11144	DMC1H, HsLim15, LIM15, dJ199H16.1	DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination (yeast)
DMD	1756	BMD, CMD3B, DXS142, DXS164, DXS206, DXS230, DXS239, DXS268, DXS269, DXS270, DXS272	dystrophin
DMPK	1760	DM, DM1, DM1PK, DMK, MDPK, MT-PK	dystrophia myotonica-protein kinase
DMRT1	1761	DMT1	doublesex and mab-3 related transcription factor 1
DNAJB4	11080	DNAJW, DjB4, HLJ1	DnaJ (Hsp40) homolog, subfamily B, member 4
DNAJC12	56521	JDP1	DnaJ (Hsp40) homolog, subfamily C, member 12
DNAJC3	5611	ERdj6, HP58, P58, P58IPK, PRKRI	DnaJ (Hsp40) homolog, subfamily C, member 3
DNASE1	1773	DNL1, DRNI	deoxyribonuclease I
DNASE2	1777	DNASE2A, DNL, DNL2	deoxyribonuclease II, lysosomal
DNASE2B	58511	DLAD	deoxyribonuclease II beta
DNMT1	1786	AIM, CXXC9, DNMT, HSN1E, MCMT	DNA (cytosine-5-)-methyltransferase 1
DNMT3A	1788	DNMT3A2, M.HsaIIIA	DNA (cytosine-5-)-methyltransferase 3 alpha
DNMT3B	1789	ICF, ICF1, M.HsaIIIB	DNA (cytosine-5-)-methyltransferase 3 beta
DNTT	1791	TDT	deoxynucleotidyltransferase, terminal
DOCK1	1793	DOCK180, ced5	dedicator of cytokinesis 1
DOK1	1796	P62DOK	docking protein 1, 62kDa (downstream of tyrosine kinase 1)
DPYSL2	1808	CRMP-2, CRMP2, DHPRP2, DRP-2, DRP2, N2A3, ULIP-2, ULIP2	dihydropyrimidinase-like 2
DR1	1810	NC2, NC2-BETA	down-regulator of transcription 1, TBP-binding (negative cofactor 2)
DRAM1	55332	DRAM	DNA-damage regulated autophagy modulator 1
DRAP1	10589	NC2-alpha	DR1-associated protein 1 (negative cofactor 2 alpha)
DRD1	1812	DADR, DRD1A	dopamine receptor D1
DRD2	1813	D2DR, D2R	dopamine receptor D2
DROSHA	29102	ETOHI2, HSA242976, RANSE3L, RN3, RNASE3L, RNASEN	drosha, ribonuclease type III
DSC2	1824	ARVD11, CDHF2, DG2, DGII/III, DSC3	desmocollin 2
DSG4	147409	CDGF13, CDHF13, LAH	desmoglein 4
DST	667	BP240, BPA, BPAG1, CATX-15, CATX15, D6S1101, DMH, DT, HSAN6, MACF2	dystonin
DUSP1	1843	CL100, HVH1, MKP-1, MKP1, PTPN10	dual specificity phosphatase 1
DUSP10	11221	MKP-5, MKP5	dual specificity phosphatase 10
DUSP4	1846	HVH2, MKP-2, MKP2, TYP	dual specificity phosphatase 4
DUSP6	1848	MKP3, PYST1	dual specificity phosphatase 6
DUX4	22947	DUX10	double homeobox 4
DYRK1A	1859	DYRK, DYRK1, HP86, MNB, MNBH, MRD7	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A
DYX1C1	161582	DYX1, DYXC1, EKN1, RD	dyslexia susceptibility 1 candidate 1
E2F1	1869	E2F-1, RBAP1, RBBP3, RBP3	E2F transcription factor 1
E2F2	1870	E2F-2	E2F transcription factor 2
E2F3	1871	E2F-3	E2F transcription factor 3
E2F4	1874	E2F-4	E2F transcription factor 4, p107/p130-binding
E2F5	1875	E2F-5	E2F transcription factor 5, p130-binding
E2F6	1876	E2F-6	E2F transcription factor 6
E2F8	79733	E2F-8	E2F transcription factor 8
E4F1	1877	E4F	E4F transcription factor 1
EAF2	55840	BM040, TRAITS, U19	ELL associated factor 2
EAPP	55837	BM036, C14orf11	E2F-associated phosphoprotein
EBF1	1879	COE1, EBF, O/E-1, OLF1	early B-cell factor 1
EBF3	253738	COE3, EBF-3, O/E-2, OE-2	early B-cell factor 3
EBI3	10148	IL-27B, IL27B	Epstein-Barr virus induced 3
EBNA1BP2	10969	EBP2, NOBP, P40	EBNA1 binding protein 2
ECD	11319	GCR2, HSGT1	ecdysoneless homolog (Drosophila)
ECE1	1889	ECE	endothelin converting enzyme 1
ECM1	1893	URBWD	extracellular matrix protein 1
ECT2	1894	ARHGEF31	epithelial cell transforming sequence 2 oncogene
EDA	1896	ECTD1, ED1, ED1-A1, ED1-A2, EDA1, EDA2, HED, HED1, ODT1, STHAGX1, XHED, XLHED	ectodysplasin A
EDEM2	55741	C20orf31, C20orf49, bA4204.1	ER degradation enhancer, mannosidase alpha-like 2
EDN1	1906	ET1, HDLCQ7, PPET1	endothelin 1
EDNRB	1910	ABCDS, ET-B, ET-BR, ETB, ETBR, ETRB, HSCR, HSCR2, WS4A	endothelin receptor type B
EED	8726	HEED, WAIT1	embryonic ectoderm development
EFNA1	1942	B61, ECKLG, EFL1, EPLG1, LERK-1, LERK1, TNFAIP4	ephrin-A1
EFNB3	1949	EFL6, EPLG8, LERK8	ephrin-B3
EGF	1950	HOMG4, URG	epidermal growth factor
EGFR	1956	ERBB, ERBB1, HER1, PIG61, mENA	epidermal growth factor receptor
EGLN1	54583	C1orf12, ECYT3, HIF-PH2, HIFPH2, HPH-2, HPH2, PHD2, SM20, ZMYND6	egl nine homolog 1 (C. elegans)
EGLN2	112398	EIT6, HIF-PH1, HIFPH1, HPH-1, HPH-3, PHD1	egl nine homolog 2 (C. elegans)
EGLN3	112399	HIFP4H3, HIFPH3, PHD3	egl nine homolog 3 (C. elegans)
EGR1	1958	AT225, G0S30, KROX-24, NGFI-A, TIS8, ZIF-268, ZNF225, Egr1	early growth response 1
EGR2	1959	AT591, CMT1D, CMT4E, KROX20	early growth response 2
EGR3	1960	EGR-3, PILOT	early growth response 3
EHF	26298	ESE3, ESE3B, ESEJ	ets homologous factor
EHMT2	10919	BAT8, C6orf30, G9A, GAT8, KMT1C, NG36	euchromatic histone-lysine N-methyltransferase 2
EIF2AK1	27102	HCR, HRI	eukaryotic translation initiation factor 2-alpha kinase 1
EIF2AK2	5610	EIF2AK1, PKR, PRKR	eukaryotic translation initiation factor 2-alpha kinase 2
EIF3M	10480	B5, PCID1, TANGO7, hfl-B5	eukaryotic translation initiation factor 3, subunit M
EIF4E	1977	AUTS19, CBP, EIF4E1, EIF4EL1, EIF4F	eukaryotic translation initiation factor 4E
ELANE	1991	ELA2, GE, HLE, HNE, NE, PMN-E, SCN1	elastase, neutrophil expressed
ELAVL1	1994	ELAV1, HUR, Hua, MelG	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)
ELF2	1998	EU32, NERF, NERF-1A, NERF-1B, NERF-1a,b, NERF-2	E74-like factor 2 (ets domain transcription factor)
ELF3	1999	EPR-1, ERT, ESE-1, ESX	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
ELF4	2000	ELFR, MEF	E74-like factor 4 (ets domain transcription factor)
ELK1	2002	Elk1	ELK1, member of ETS oncogene family
ELK3	2004	ERP, NET, SAP2	ELK3, ETS-domain protein (SRF accessory protein 2)
ELK4	2005	SAP1	ELK4, ETS-domain protein (SRF accessory protein 1)
ELL	8178	C19orf17, ELL1, MEN, PPP1R68	elongation factor RNA polymerase II
ELMO3	79767	CED-12, CED12, ELMO-3	engulfment and cell motility 3
ELN	2006	SVAS, WBS, WS	elastin
ELOVL6	79071	FACE, FAE, LCE	ELOVL fatty acid elongase 6
ENG	2022	CD105, END, HHT1, ORW, ORW1	endoglin
ENO1	2023	ENO1L1, MPB1, NNE, PPH	enolase 1, (alpha)
ENPP2	5168	ATX, ATX-X, AUTOTAXIN, LysoPLD, NPP2, PD-IALPHA, PDNP2	ectonucleotide pyrophosphatase/phosphodiesterase 2
EOMES	8320	TBR2	eomesodermin
EP300	2033	KAT3B, RSTS2, p300	E1A binding protein p300
EPAS1	2034	ECYT4, HIF2A, HLF, MOP2, PASD2, bHLHe73	endothelial PAS domain protein 1
EPB41L3	23136	4.1B, DAL-1, DAL1	erythrocyte membrane protein band 4.1-like 3
EPB41L4B	54566	CG1, EHM2	erythrocyte membrane protein band 4.1 like 4B
EPCAM	4072	DIAR5, EGP-2, EGP314, EGP40, ESA, HNPCC8, KS1/4, KSA, M4S1, MIC18, MK-1, TACSTD1, TROP1	epithelial cell adhesion molecule
EPHA1	2041	EPH, EPHT, EPHT1	EPH receptor A1
EPHA2	1969	ARCC2, CTPA, CTPP1, ECK	EPH receptor A2
EPHA3	2042	EK4, ETK, ETK1, HEK, HEK4, TYRO4	EPH receptor A3
EPHB2	2048	CAPB, DRT, EK5, EPHT3, ERK, Hek5, PCBC, Tyro5	EPH receptor B2
EPO	2056	EP, MVCD2	erythropoietin
EPOR	2057	EPO-R	erythropoietin receptor
EPSTI1	94240	BRESI1	epithelial stromal interaction 1 (breast)
ERAP1	51752	A-LAP, ALAP, APPILS, ARTS-1, ARTS1, ERAAP, ERAAP1, PILS-AP, PILSAP	endoplasmic reticulum aminopeptidase 1
ERAP2	64167	L-RAP, LRAP	endoplasmic reticulum aminopeptidase 2
ERBB2	2064	CD340, HER-2, HER-2/neu, HER2, MLN 19, NEU, NGL, TKR1	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
ERBB3	2065	ErbB-3, HER3, LCCS2, MDA-BF-1, c-erbB-3, c-erbB3, erbB3-S, p180-ErbB3, p45-sErbB3, p85-sErbB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
ERBB4	2066	HER4, p180erbB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)
ERCC1	2067	COFS4, RAD10, UV20	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)
ERCC2	2068	COFS2, EM9, TTD, XPD	excision repair cross-complementing rodent repair deficiency, complementation group 2
ERCC3	2071	BTF2, GTF2H, RAD25, TFIIH, XPB	excision repair cross-complementing rodent repair deficiency, complementation group 3
ERCC4	2072	ERCC11, RAD1, XPF	excision repair cross-complementing rodent repair deficiency, complementation group 4
ERCC5	2073	COFS3, ERCM2, UVDR, XPG, XPGC	excision repair cross-complementing rodent repair deficiency, complementation group 5
EREG	2069	ER	epiregulin
ERF	2077	PE-2, PE2	Ets2 repressor factor
ERG	2078	erg-3, p55	v-ets erythroblastosis virus E26 oncogene homolog (avian)
ERN1	2081	IRE1, IRE1P, IRE1a, hIRE1p	endoplasmic reticulum to nucleus signaling 1
ERO1L	30001	ERO1-alpha, ERO1A	ERO1-like (S. cerevisiae)
ERP29	10961	C12orf8, ERp28, ERp31, PDI-DB, PDIA9	endoplasmic reticulum protein 29
ERP44	23071	PDIA10, TXNDC4	endoplasmic reticulum protein 44
ERVFRD-1	405754	ERVFRDE1, GLLL6191, HERV-FRD, HERV-W/FRD, UNQ6191, envFRD	endogenous retrovirus group FRD, member 1
ERVW-1	30816	ENV, ENVW, ERVWE1, HERV-7q, HERV-W-ENV, HERV7Q, HERVW, HERVWENV	endogenous retrovirus group W, member 1
ESCO2	157570	2410004I17Rik, EFO2, RBS	establishment of cohesion 1 homolog 2 (S. cerevisiae)
ESR1	2099	ER, ESR, ESRA, Era, NR3A1	estrogen receptor 1
ESR2	2100	ER-BETA, ESR-BETA, ESRB, ESTRB, Erb, NR3A2	estrogen receptor 2 (ER beta)
ESRRA	2101	ERR1, ERRa, ERRalpha, ESRL1, NR3B1, ERRA	estrogen-related receptor alpha
ESRRB	2103	DFNB35, ERR2, ERRb, ESRL2, NR3B2	estrogen-related receptor beta
ESRRG	2104	ERR3, ERRgamma, NR3B3	estrogen-related receptor gamma
ETF1	2107	D5S1995, ERF, ERF1, RF1, SUP45L1, TB3-1	eukaryotic translation termination factor 1
ETNK2	55224	EKI2, HMFT1716	ethanolamine kinase 2
ETS1	2113	ETS-1, EWSR2, Ets1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
ETS2	2114	ETS2IT1, Ets2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
ETV1	2115	ER81	ets variant 1
ETV2	2116	ER71, ETSRP71	ets variant 2
ETV3	2117	METS, PE-1, PE1, bA110J1.4	ets variant 3
ETV4	2118	E1A-F, E1AF, PEA3, PEAS3	ets variant 4
ETV5	2119	ERM	ets variant 5
ETV6	2120	TEL, TEL/ABL	ets variant 6
ETV7	51513	TEL-2, TEL2, TELB	ets variant 7
EVPL	2125	EVPK	envoplakin
EWSR1	2130	EWS, bK984G1.4	Ewing sarcoma breakpoint region 1
EXO1	9156	HEX1, hExoI	exonuclease 1
EXT1	2131	EXT, LGCR, LGS, TRPS2, TTV	exostosin glycosyltransferase 1
EZH2	2146	ENX-1, ENX1, EZH1, KMT6, KMT6A, WVS2	enhancer of zeste homolog 2 (Drosophila)
EZR	7430	CVIL, CVL, VIL2	ezrin
F10	2159	FX, FXA	coagulation factor X
F12	2161	HAE3, HAEX, HAF	coagulation factor XII (Hageman factor)
F13A1	2162	F13A	coagulation factor XIII, A1 polypeptide
F2R	2149	CF2R, HTR, PAR-1, PAR1, TR	coagulation factor II (thrombin) receptor
F3	2152	CD142, TF, TFA	coagulation factor III (thromboplastin, tissue factor)
F7	2155	SPCA	coagulation factor VII (serum prothrombin conversion accelerator)
F8	2157	AHF, DXS1253E, F8B, F8C, FVIII, HEMA	coagulation factor VIII, procoagulant component
F9	2158	FIX, HEMB, P19, PTC, THPH8	coagulation factor IX
FAAH	2166	FAAH-1	fatty acid amide hydrolase
FABP1	2168	FABPL, L-FABP	fatty acid binding protein 1, liver
FABP2	2169	FABPI, I-FABP	fatty acid binding protein 2, intestinal
FABP4	2167	A-FABP, AFABP, ALBP, aP2	fatty acid binding protein 4, adipocyte
FABP5	2171	E-FABP, EFABP, KFABP, PA-FABP, PAFABP	fatty acid binding protein 5 (psoriasis-associated)
FABP6	2172	I-15P, I-BABP, I-BALB, I-BAP, ILBP, ILBP3, ILLBP	fatty acid binding protein 6, ileal
FABP7	2173	B-FABP, BLBP, FABPB, MRG	fatty acid binding protein 7, brain
FADD	8772	MORT1	Fas (TNFRSF6)-associated via death domain
FAF1	11124	HFAF1s, UBXD12, UBXN3A, hFAF1	Fas (TNFRSF6) associated factor 1
FAM162A	26355	C3orf28, E2IG5, HGTD-P	family with sequence similarity 162, member A
FAM57A	79850	CT120	family with sequence similarity 57, member A
FANCA	2175	FA, FA-H, FA1, FAA, FACA, FAH, FANCH	Fanconi anemia, complementation group A
FAP	2191	DPPIV, FAPA	fibroblast activation protein, alpha
FAS	355	ALPS1A, APO-1, APT1, CD95, FAS1, FASTM, TNFRSF6	Fas (TNF receptor superfamily, member 6)
FASLG	356	ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6	Fas ligand (TNF superfamily, member 6)
FASN	2194	FAS, OA-519, SDR27X1	fatty acid synthase
FAT1	2195	CDHF7, CDHR8, FAT, ME5, hFat1	FAT tumor suppressor homolog 1 (Drosophila)
FBLN1	2192	FBLN, FIBL1	fibulin 1
FBN1	2200	ACMICD, ECTOL1, FBN, GPHYSD2, MASS, MFS1, OCTD, SGS, SSKS, WMS, WMS2	fibrillin 1
FBP1	2203	FBP	fructose-1,6-bisphosphatase 1
FBXO32	114907	Fbx32, MAFbx	F-box protein 32
FCER1A	2205	FCE1A, FcERI	Fc fragment of IgE, high affinity I, receptor for alpha polypeptide
FCER2	2208	BLAST-2, CD23, CD23A, CLEC4J, FCE2, IGEBF	Fc fragment of IgE, low affinity II, receptor for (CD23)
FCGR1A	2209	CD64, CD64A, FCRI, IGFR1	Fc fragment of IgG, high affinity Ia, receptor (CD64)
FCGR2B	2213	CD32, CD32B, FCG2, FCGR2, IGFR2	Fc fragment of IgG, low affinity IIb, receptor (CD32)
FCGR3B	2215	CD16, CD16b, FCG3, FCGR3, FCR-10, FCRIII, FCRIIIb	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)
FCGRT	2217	FCRN, alpha-chain	Fc fragment of IgG, receptor, transporter, alpha
FDFT1	2222	DGPT, ERG9, SQS, SS	farnesyl-diphosphate farnesyltransferase 1
FDPS	2224	FPPS, FPS	farnesyl diphosphate synthase
FDXR	2232	ADXR	ferredoxin reductase
FES	2242	FPS	feline sarcoma oncogene
FGA	2243	Fib2	fibrinogen alpha chain
FGF1	2246	AFGF, ECGF, ECGF-beta, ECGFA, ECGFB, FGF-1, FGF-alpha, FGFA, GLIO703, HBGF-1, HBGF1	fibroblast growth factor 1 (acidic)
FGF16	8823	FGF-16	fibroblast growth factor 16
FGF2	2247	BFGF, FGF-2, FGFB, HBGF-2	fibroblast growth factor 2 (basic)
FGF4	2249	HBGF-4, HST, HST-1, HSTF1, K-FGF, KFGF	fibroblast growth factor 4
FGF7	2252	HBGF-7, KGF	fibroblast growth factor 7
FGF8	2253	AIGF, FGF-8, HBGF-8, HH6, KAL6	fibroblast growth factor 8 (androgen-induced)
FGF9	2254	GAF, HBFG-9, SYNS3	fibroblast growth factor 9 (glia-activating factor)
FGFBP1	9982	FGF-BP, FGF-BP1, FGFBP, FGFBP-1, HBP17	fibroblast growth factor binding protein 1
FGFR1	2260	BFGFR, CD331, CEK, FGFBR, FGFR-1, FLG, FLT-2, FLT2, HBGFR, HH2, KAL2, N-SAM, OGD, bFGF-R-1	fibroblast growth factor receptor 1
FGFR3	2261	ACH, CD333, CEK2, HSFGFR3EX, JTK4	fibroblast growth factor receptor 3
FGFR4	2264	CD334, JTK2, TKF	fibroblast growth factor receptor 4
FGL1	2267	HFREP1, HP-041, LFIRE-1, LFIRE1	fibrinogen-like 1
FGL2	10875	T49, pT49	fibrinogen-like 2
FHIT	2272	AP3Aase, FRA3B	fragile histidine triad
FHL1	2273	FHL-1, FHL1A, FHL1B, FLH1A, KYOT, SLIM, SLIM-1, SLIM1, SLIMMER, XMPMA	four and a half LIM domains 1
FHL2	2274	AAG11, DRAL, FHL-2, SLIM-3, SLIM3	four and a half LIM domains 2
FIGF	2277	VEGF-D, VEGFD	c-fos induced growth factor (vascular endothelial growth factor D)
FIGLA	344018	BHLHC8, FIGALPHA, POF6	folliculogenesis specific basic helix-loop-helix
FKBP4	2288	FKBP51, FKBP52, FKBP59, HBI, Hsp56, PPIase, p52	FK506 binding protein 4, 59kDa
FKBP5	2289	AIG6, FKBP51, FKBP54, P54, PPIase, Ptg-10	FK506 binding protein 5
FLG	2312	ATOD2	filaggrin
FLI1	2313	EWSR2, SIC-1	Friend leukemia virus integration 1
FLNA	2316	ABP-280, ABPX, CVD1, FLN, FLN-A, FLN1, FMD, MNS, NHBP, OPD, OPD1, OPD2, XLVD, XMVD	filamin A, alpha
FLT1	2321	FLT, FLT-1, VEGFR-1, VEGFR1	fms-related tyrosine kinase 1
FLT3	2322	CD135, FLK-2, FLK2, STK1	fms-related tyrosine kinase 3
FLT4	2324	FLT41, LMPH1A, PCL, VEGFR3	fms-related tyrosine kinase 4
FMO3	2328	FMOII, TMAU, dJ127D3.1	flavin containing monooxygenase 3
FMO4	2329	FMO2	flavin containing monooxygenase 4
FMR1	2332	FMRP, FRAXA, POF, POF1	fragile X mental retardation 1
FN1	2335	CIG, ED-B, FINC, FN, FNZ, GFND, GFND2, LETS, MSF	fibronectin 1
FOLH1	2346	FGCP, FOLH, GCP2, GCPII, NAALAD1, NAALAdase, PSM, PSMA, mGCP	folate hydrolase (prostate-specific membrane antigen) 1
FOLR1	2348	FBP, FOLR	folate receptor 1 (adult)
FOS	2353	AP-1, C-FOS, p55, Fos, c-Fos	FBJ murine osteosarcoma viral oncogene homolog
FOSB	2354	AP-1, G0S3, GOS3, GOSB	FBJ murine osteosarcoma viral oncogene homolog B
FOSL1	8061	FRA, FRA1, fra-1	FOS-like antigen 1
FOSL2	2355	FRA2	FOS-like antigen 2
FOXA1	3169	HNF3A, TCF3A	forkhead box A1
FOXA2	3170	HNF3B, TCF3B	forkhead box A2
FOXA3	3171	FKHH3, HNF3G, TCF3G	forkhead box A3
FOXC1	2296	ARA, FKHL7, FREAC-3, FREAC3, IGDA, IHG1, IRID1, RIEG3	forkhead box C1
FOXC2	2303	FKHL14, LD, MFH-1, MFH1	forkhead box C2 (MFH-1, mesenchyme forkhead 1)
FOXD1	2297	FKHL8, FREAC4	forkhead box D1
FOXD3	27022	AIS1, Genesis, HFH2, VAMAS2	forkhead box D3
FOXE1	2304	FKHL15, FOXE2, HFKH4, HFKL5, TITF2, TTF-2, TTF2	forkhead box E1 (thyroid transcription factor 2)
FOXF1	2294	ACDMPV, FKHL5, FREAC1	forkhead box F1
FOXF2	2295	FKHL6, FREAC-2, FREAC2	forkhead box F2
FOXG1	2290	BF1, BF2, FHKL3, FKH2, FKHL1, FKHL2, FKHL3, FKHL4, FOXG1A, FOXG1B, FOXG1C, HBF-1, HBF-2, HBF-3, HBF-G2, HBF2, HFK1, HFK2, HFK3, KHL2, QIN	forkhead box G1
FOXH1	8928	FAST-1, FAST1	forkhead box H1
FOXI1	2299	FKH10, FKHL10, FREAC-6, FREAC6, HFH-3, HFH3	forkhead box I1
FOXJ1	2302	FKHL13, HFH-4, HFH4	forkhead box J1
FOXK2	3607	ILF, ILF-1, ILF1	forkhead box K2
FOXL1	2300	FKH6, FKHL11, FREAC7	forkhead box L1
FOXL2	668	BPES, BPES1, PFRK, PINTO, POF3	forkhead box L2
FOXM1	2305	FKHL16, FOXM1B, HFH-11, HFH11, HNF-3, INS-1, MPHOSPH2, MPP-2, MPP2, PIG29, TGT3, TRIDENT	forkhead box M1
FOXN1	8456	FKHL20, RONU, WHN	forkhead box N1
FOXO1	2308	FKH1, FKHR, FOXO1A	forkhead box O1
FOXO3	2309	AF6q21, FKHRL1, FKHRL1P2, FOXO2, FOXO3A	forkhead box O3
FOXO4	4303	AFX, AFX1, MLLT7	forkhead box O4
FOXP1	27086	12CC4, QRF1, hFKH1B	forkhead box P1
FOXP2	93986	CAGH44, SPCH1, TNRC10	forkhead box P2
FOXP3	50943	AIID, DIETER, IPEX, PIDX, XPID	forkhead box P3
FOXQ1	94234	HFH1	forkhead box Q1
FSHR	2492	FSHRO, LGR1, ODG1	follicle stimulating hormone receptor
FST	10468	FS	follistatin
FSTL3	10272	FLRG, FSRP	follistatin-like 3 (secreted glycoprotein)
FTH1	2495	FHC, FTH, FTHL6, PIG15, PLIF	ferritin, heavy polypeptide 1
FTH1P18	441490	FTHL18	ferritin, heavy polypeptide 1 pseudogene 18
FUBP1	8880	FBP, FUBP	far upstream element (FUSE) binding protein 1
FUBP3	8939	FBP3	far upstream element (FUSE) binding protein 3
FURIN	5045	FUR, PACE, PCSK3, SPC1	furin (paired basic amino acid cleaving enzyme)
FUS	2521	ALS6, ETM4, FUS1, HNRNPP2, POMP75, TLS	fused in sarcoma
FUT2	2524	B12QTL1, SE, SEC2, Se2, sej	fucosyltransferase 2 (secretor status included)
FUT3	2525	CD174, FT3B, FucT-III, LE, Les	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)
FUT4	2526	CD15, ELFT, FCT3A, FUC-TIV, FUTIV, LeX, SSEA-1	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)
